no_of_iteration,test_error,training_error
0.0,0.690081196,0.7016843709999999
50.0,0.540081196,0.541684371
100.0,0.4909213220000001,0.486040879
150.0,0.455402292,0.445228947
200.0,0.433816936,0.421736123
250.0,0.416714426,0.404116294
300.0,0.402903683,0.390110575
350.0,0.391316071,0.378545083
400.0,0.382990815,0.370366603
450.0,0.376551818,0.364091476
500.0,0.370614812,0.35807051
550.0,0.365512773,0.35284640100000003
600.0,0.360821735,0.34788571799999995
650.0,0.35672427,0.343378742
700.0,0.35318672700000003,0.339403595
750.0,0.349900473,0.335780969
800.0,0.34688329700000003,0.33249195
850.0,0.344128106,0.329470153
900.0,0.341628153,0.326709954
950.0,0.33921501,0.324127919
1000.0,0.33695589,0.321647407
1050.0,0.334890328,0.31928643
1100.0,0.332896281,0.317054505
1150.0,0.331018414,0.314935442
1200.0,0.329205494,0.312886351
1250.0,0.327521404,0.310941517
1300.0,0.325908778,0.30907263
1350.0,0.324357806,0.307253252
1400.0,0.322846839,0.305480677
1450.0,0.321354939,0.303794091
1500.0,0.319917148,0.302146703
1550.0,0.318514045,0.300487307
1600.0,0.317043077,0.298849407
1650.0,0.315623345,0.297203216
1700.0,0.314211123,0.29556458
1750.0,0.31279682368040085,0.2939574960619211
1800.0,0.3113466314971447,0.2924613291397691
1850.0,0.30983539298176765,0.29097237950190896
1900.0,0.3083190303295851,0.28950718883425003
1950.0,0.3068318292498589,0.2881011730059981
2000.0,0.30544850789010525,0.2867446471937001
2050.0,0.3041255958378315,0.2854431411251426
2100.0,0.3028338700532913,0.2842178260907531
2150.0,0.30160523764789104,0.2830145969055593
2200.0,0.30048107728362083,0.2818557824939489
2250.0,0.2994112484157085,0.2807427882216871
2300.0,0.298403387889266,0.2796939592808485
2350.0,0.29742856323719025,0.27866812283173203
2400.0,0.29641714319586754,0.2776656355708837
2450.0,0.2955173458904028,0.2766872742213309
2500.0,0.2946329787373543,0.2757399082183838
2550.0,0.2938237804919481,0.2748147458769381
2600.0,0.29305775836110115,0.27390842558816075
2650.0,0.2922895271331072,0.2730238987132907
2700.0,0.2915340457111597,0.2721736500971019
2750.0,0.2907840944826603,0.2713393969461322
2800.0,0.2900168504565954,0.2705189962871373
2850.0,0.28932546265423303,0.2697241259738803
2900.0,0.28864493779838085,0.26893123937770724
2950.0,0.28801008872687817,0.26814822014421225
3000.0,0.2874089553952217,0.26738153118640184
3050.0,0.28684377297759056,0.2666379036381841
3100.0,0.2862788774073124,0.2659058924764395
3150.0,0.2857547234743833,0.26517705991864204
3200.0,0.28523541428148746,0.26445401133969426
3250.0,0.28471628203988075,0.263741472736001
3300.0,0.2841947562992573,0.26304103108122945
3350.0,0.2837460525333881,0.2623555213212967
3400.0,0.28329640068113804,0.2616728278808296
3450.0,0.2828199062496424,0.2610111925750971
3500.0,0.2823869548738003,0.26036445284262305
3550.0,0.2819683887064457,0.2597280452027917
3600.0,0.28156152181327343,0.2591038909740746
3650.0,0.2811563201248646,0.2584855519235134
3700.0,0.2807624638080597,0.25787005480378866
3750.0,0.2803693227469921,0.2572724064812064
3800.0,0.27996055595576763,0.25667811278253794
3850.0,0.2795605007559061,0.25610460387542844
3900.0,0.27919370494782925,0.2555404636077583
3950.0,0.27882143668830395,0.2549848165363073
4000.0,0.2784322779625654,0.25443466333672404
4050.0,0.2780705336481333,0.2538900221697986
4100.0,0.27768675051629543,0.25336373830214143
4150.0,0.2773459944874048,0.2528399294242263
4200.0,0.27701982110738754,0.25231730937957764
4250.0,0.27665835432708263,0.25179317872971296
4300.0,0.2763336654752493,0.2512811087071896
4350.0,0.2760274391621351,0.2507694330997765
4400.0,0.2757344413548708,0.2502656164579093
4450.0,0.2754491399973631,0.2497653514146805
4500.0,0.2751846220344305,0.2492617215029896
4550.0,0.27494411170482635,0.2487682281062007
4600.0,0.2747075669467449,0.24827120173722506
4650.0,0.2744549755007029,0.2477913377806545
4700.0,0.2742186039686203,0.2473276606760919
4750.0,0.2740038800984621,0.24686250323429704
4800.0,0.27374598011374474,0.2464044513180852
4850.0,0.2734799887984991,0.24595188489183786
4900.0,0.2732374481856823,0.2455045841634273
4950.0,0.2729789335280657,0.24506136123090985
5000.0,0.2727198041975498,0.2446262575685978
5050.0,0.2724732235074043,0.2441993784159422
5100.0,0.2722737044095993,0.24377089412882924
5150.0,0.2720602173358202,0.2433447688817978
5200.0,0.27180824987590313,0.2429269328713417
5250.0,0.27155016548931604,0.2425090111792088
5300.0,0.2713353261351585,0.2420898303389549
5350.0,0.27113061398267746,0.2416727691888809
5400.0,0.27091101184487343,0.2412572908215225
5450.0,0.2706923317164183,0.24085017247125504
5500.0,0.2704685647040605,0.24045173823833466
5550.0,0.2702382504940033,0.24005162809044125
5600.0,0.2700383234769106,0.2396513256244361
5650.0,0.2698316220194101,0.2392512145452201
5700.0,0.2696424778550863,0.2388563295826316
5750.0,0.2694667968899012,0.2384693417698145
5800.0,0.2692993879318237,0.2380904769524932
